cid,sig_id,cell_id,pert_id,drugName,drugClass,drugLabel
REP.A008_PC3_24H:A08,REP.A008_PC3_24H:A08,PC3,BRD-A68009927,daunorubicin,Anti-Infective Agents,2
REP.A008_PC3_24H:A09,REP.A008_PC3_24H:A09,PC3,BRD-A68009927,daunorubicin,Anti-Infective Agents,2
REP.A008_PC3_24H:A10,REP.A008_PC3_24H:A10,PC3,BRD-A68009927,daunorubicin,Anti-Infective Agents,2
REP.A008_PC3_24H:A11,REP.A008_PC3_24H:A11,PC3,BRD-A68009927,daunorubicin,Anti-Infective Agents,2
REP.A008_PC3_24H:A12,REP.A008_PC3_24H:A12,PC3,BRD-A68009927,daunorubicin,Anti-Infective Agents,2
REP.A008_PC3_24H:A13,REP.A008_PC3_24H:A13,PC3,BRD-K35960502,niclosamide,Anti-Infective Agents,2
REP.A008_PC3_24H:A14,REP.A008_PC3_24H:A14,PC3,BRD-K35960502,niclosamide,Anti-Infective Agents,2
REP.A008_PC3_24H:A15,REP.A008_PC3_24H:A15,PC3,BRD-K35960502,niclosamide,Anti-Infective Agents,2
REP.A008_PC3_24H:A16,REP.A008_PC3_24H:A16,PC3,BRD-K35960502,niclosamide,Anti-Infective Agents,2
REP.A008_PC3_24H:A17,REP.A008_PC3_24H:A17,PC3,BRD-K35960502,niclosamide,Anti-Infective Agents,2
REP.A008_PC3_24H:A18,REP.A008_PC3_24H:A18,PC3,BRD-K35960502,niclosamide,Anti-Infective Agents,2
REP.A008_PC3_24H:A19,REP.A008_PC3_24H:A19,PC3,BRD-K63712959,temoporfin,Dermatologic Agents,5
REP.A008_PC3_24H:A20,REP.A008_PC3_24H:A20,PC3,BRD-K63712959,temoporfin,Dermatologic Agents,5
REP.A008_PC3_24H:A21,REP.A008_PC3_24H:A21,PC3,BRD-K63712959,temoporfin,Dermatologic Agents,5
REP.A008_PC3_24H:A22,REP.A008_PC3_24H:A22,PC3,BRD-K63712959,temoporfin,Dermatologic Agents,5
REP.A008_PC3_24H:A23,REP.A008_PC3_24H:A23,PC3,BRD-K63712959,temoporfin,Dermatologic Agents,5
REP.A008_PC3_24H:A24,REP.A008_PC3_24H:A24,PC3,BRD-K63712959,temoporfin,Dermatologic Agents,5
REP.A008_PC3_24H:B03,REP.A008_PC3_24H:B03,PC3,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:B04,REP.A008_PC3_24H:B04,PC3,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:B05,REP.A008_PC3_24H:B05,PC3,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:B06,REP.A008_PC3_24H:B06,PC3,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:B07,REP.A008_PC3_24H:B07,PC3,BRD-K99107520,felbamate,Central Nervous System Agents,4
REP.A008_PC3_24H:B08,REP.A008_PC3_24H:B08,PC3,BRD-K99107520,felbamate,Central Nervous System Agents,4
REP.A008_PC3_24H:B09,REP.A008_PC3_24H:B09,PC3,BRD-K99107520,felbamate,Central Nervous System Agents,4
REP.A008_PC3_24H:B10,REP.A008_PC3_24H:B10,PC3,BRD-K99107520,felbamate,Central Nervous System Agents,4
REP.A008_PC3_24H:B11,REP.A008_PC3_24H:B11,PC3,BRD-K99107520,felbamate,Central Nervous System Agents,4
REP.A008_PC3_24H:B12,REP.A008_PC3_24H:B12,PC3,BRD-K99107520,felbamate,Central Nervous System Agents,4
REP.A008_PC3_24H:C19,REP.A008_PC3_24H:C19,PC3,BRD-K50691590,bortezomib,Antineoplastic Agents,1
REP.A008_PC3_24H:C20,REP.A008_PC3_24H:C20,PC3,BRD-K50691590,bortezomib,Antineoplastic Agents,1
REP.A008_PC3_24H:C21,REP.A008_PC3_24H:C21,PC3,BRD-K50691590,bortezomib,Antineoplastic Agents,1
REP.A008_PC3_24H:C22,REP.A008_PC3_24H:C22,PC3,BRD-K50691590,bortezomib,Antineoplastic Agents,1
REP.A008_PC3_24H:C23,REP.A008_PC3_24H:C23,PC3,BRD-K50691590,bortezomib,Antineoplastic Agents,1
REP.A008_PC3_24H:C24,REP.A008_PC3_24H:C24,PC3,BRD-K50691590,bortezomib,Antineoplastic Agents,1
REP.A008_PC3_24H:D01,REP.A008_PC3_24H:D01,PC3,BRD-K36862742,hydroflumethiazide,Central Nervous System Agents,4
REP.A008_PC3_24H:D02,REP.A008_PC3_24H:D02,PC3,BRD-K36862742,hydroflumethiazide,Central Nervous System Agents,4
REP.A008_PC3_24H:D03,REP.A008_PC3_24H:D03,PC3,BRD-K36862742,hydroflumethiazide,Central Nervous System Agents,4
REP.A008_PC3_24H:D04,REP.A008_PC3_24H:D04,PC3,BRD-K36862742,hydroflumethiazide,Central Nervous System Agents,4
REP.A008_PC3_24H:D05,REP.A008_PC3_24H:D05,PC3,BRD-K36862742,hydroflumethiazide,Central Nervous System Agents,4
REP.A008_PC3_24H:D06,REP.A008_PC3_24H:D06,PC3,BRD-K36862742,hydroflumethiazide,Central Nervous System Agents,4
REP.A008_PC3_24H:D19,REP.A008_PC3_24H:D19,PC3,BRD-K34415467,trimethobenzamide,Central Nervous System Agents,4
REP.A008_PC3_24H:D20,REP.A008_PC3_24H:D20,PC3,BRD-K34415467,trimethobenzamide,Central Nervous System Agents,4
REP.A008_PC3_24H:D21,REP.A008_PC3_24H:D21,PC3,BRD-K34415467,trimethobenzamide,Central Nervous System Agents,4
REP.A008_PC3_24H:D22,REP.A008_PC3_24H:D22,PC3,BRD-K34415467,trimethobenzamide,Central Nervous System Agents,4
REP.A008_PC3_24H:D23,REP.A008_PC3_24H:D23,PC3,BRD-K34415467,trimethobenzamide,Central Nervous System Agents,4
REP.A008_PC3_24H:D24,REP.A008_PC3_24H:D24,PC3,BRD-K34415467,trimethobenzamide,Central Nervous System Agents,4
REP.A008_PC3_24H:E02,REP.A008_PC3_24H:E02,PC3,BRD-K32318651,acyclovir,Anti-Infective Agents,2
REP.A008_PC3_24H:E03,REP.A008_PC3_24H:E03,PC3,BRD-K32318651,acyclovir,Anti-Infective Agents,2
REP.A008_PC3_24H:E04,REP.A008_PC3_24H:E04,PC3,BRD-K32318651,acyclovir,Anti-Infective Agents,2
REP.A008_PC3_24H:E05,REP.A008_PC3_24H:E05,PC3,BRD-K32318651,acyclovir,Anti-Infective Agents,2
REP.A008_PC3_24H:E06,REP.A008_PC3_24H:E06,PC3,BRD-K32318651,acyclovir,Anti-Infective Agents,2
REP.A008_PC3_24H:E07,REP.A008_PC3_24H:E07,PC3,BRD-K34008116,dolasetron,Central Nervous System Agents,4
REP.A008_PC3_24H:E08,REP.A008_PC3_24H:E08,PC3,BRD-K34008116,dolasetron,Central Nervous System Agents,4
REP.A008_PC3_24H:E09,REP.A008_PC3_24H:E09,PC3,BRD-K34008116,dolasetron,Central Nervous System Agents,4
REP.A008_PC3_24H:E10,REP.A008_PC3_24H:E10,PC3,BRD-K34008116,dolasetron,Central Nervous System Agents,4
REP.A008_PC3_24H:E11,REP.A008_PC3_24H:E11,PC3,BRD-K34008116,dolasetron,Central Nervous System Agents,4
REP.A008_PC3_24H:E12,REP.A008_PC3_24H:E12,PC3,BRD-K34008116,dolasetron,Central Nervous System Agents,4
REP.A008_PC3_24H:E13,REP.A008_PC3_24H:E13,PC3,BRD-K36270037,esculin,Cardiovascular Agents,3
REP.A008_PC3_24H:E14,REP.A008_PC3_24H:E14,PC3,BRD-K36270037,esculin,Cardiovascular Agents,3
REP.A008_PC3_24H:E15,REP.A008_PC3_24H:E15,PC3,BRD-K36270037,esculin,Cardiovascular Agents,3
REP.A008_PC3_24H:E16,REP.A008_PC3_24H:E16,PC3,BRD-K36270037,esculin,Cardiovascular Agents,3
REP.A008_PC3_24H:E17,REP.A008_PC3_24H:E17,PC3,BRD-K36270037,esculin,Cardiovascular Agents,3
REP.A008_PC3_24H:E18,REP.A008_PC3_24H:E18,PC3,BRD-K36270037,esculin,Cardiovascular Agents,3
REP.A008_PC3_24H:E19,REP.A008_PC3_24H:E19,PC3,BRD-A50684349,fenoldopam,Cardiovascular Agents,3
REP.A008_PC3_24H:E20,REP.A008_PC3_24H:E20,PC3,BRD-A50684349,fenoldopam,Cardiovascular Agents,3
REP.A008_PC3_24H:E21,REP.A008_PC3_24H:E21,PC3,BRD-A50684349,fenoldopam,Cardiovascular Agents,3
REP.A008_PC3_24H:E22,REP.A008_PC3_24H:E22,PC3,BRD-A50684349,fenoldopam,Cardiovascular Agents,3
REP.A008_PC3_24H:E23,REP.A008_PC3_24H:E23,PC3,BRD-A50684349,fenoldopam,Cardiovascular Agents,3
REP.A008_PC3_24H:E24,REP.A008_PC3_24H:E24,PC3,BRD-A50684349,fenoldopam,Cardiovascular Agents,3
REP.A008_PC3_24H:F01,REP.A008_PC3_24H:F01,PC3,BRD-K33251802,miglustat,Anti-Infective Agents,2
REP.A008_PC3_24H:F02,REP.A008_PC3_24H:F02,PC3,BRD-K33251802,miglustat,Anti-Infective Agents,2
REP.A008_PC3_24H:F03,REP.A008_PC3_24H:F03,PC3,BRD-K33251802,miglustat,Anti-Infective Agents,2
REP.A008_PC3_24H:F04,REP.A008_PC3_24H:F04,PC3,BRD-K33251802,miglustat,Anti-Infective Agents,2
REP.A008_PC3_24H:F05,REP.A008_PC3_24H:F05,PC3,BRD-K33251802,miglustat,Anti-Infective Agents,2
REP.A008_PC3_24H:F06,REP.A008_PC3_24H:F06,PC3,BRD-K33251802,miglustat,Anti-Infective Agents,2
REP.A008_PC3_24H:F07,REP.A008_PC3_24H:F07,PC3,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:F08,REP.A008_PC3_24H:F08,PC3,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:F09,REP.A008_PC3_24H:F09,PC3,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:F10,REP.A008_PC3_24H:F10,PC3,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:F11,REP.A008_PC3_24H:F11,PC3,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:F12,REP.A008_PC3_24H:F12,PC3,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:G01,REP.A008_PC3_24H:G01,PC3,BRD-K60038276,irbesartan,Cardiovascular Agents,3
REP.A008_PC3_24H:G02,REP.A008_PC3_24H:G02,PC3,BRD-K60038276,irbesartan,Cardiovascular Agents,3
REP.A008_PC3_24H:G03,REP.A008_PC3_24H:G03,PC3,BRD-K60038276,irbesartan,Cardiovascular Agents,3
REP.A008_PC3_24H:G04,REP.A008_PC3_24H:G04,PC3,BRD-K60038276,irbesartan,Cardiovascular Agents,3
REP.A008_PC3_24H:G05,REP.A008_PC3_24H:G05,PC3,BRD-K60038276,irbesartan,Cardiovascular Agents,3
REP.A008_PC3_24H:G06,REP.A008_PC3_24H:G06,PC3,BRD-K60038276,irbesartan,Cardiovascular Agents,3
REP.A008_PC3_24H:G07,REP.A008_PC3_24H:G07,PC3,BRD-K73691377,alprostadil,Cardiovascular Agents,3
REP.A008_PC3_24H:G08,REP.A008_PC3_24H:G08,PC3,BRD-K73691377,alprostadil,Cardiovascular Agents,3
REP.A008_PC3_24H:G09,REP.A008_PC3_24H:G09,PC3,BRD-K73691377,alprostadil,Cardiovascular Agents,3
REP.A008_PC3_24H:G10,REP.A008_PC3_24H:G10,PC3,BRD-K73691377,alprostadil,Cardiovascular Agents,3
REP.A008_PC3_24H:G11,REP.A008_PC3_24H:G11,PC3,BRD-K73691377,alprostadil,Cardiovascular Agents,3
REP.A008_PC3_24H:G12,REP.A008_PC3_24H:G12,PC3,BRD-K73691377,alprostadil,Cardiovascular Agents,3
REP.A008_PC3_24H:G13,REP.A008_PC3_24H:G13,PC3,BRD-K50691590,bortezomib,Antineoplastic Agents,1
REP.A008_PC3_24H:G14,REP.A008_PC3_24H:G14,PC3,BRD-K50691590,bortezomib,Antineoplastic Agents,1
REP.A008_PC3_24H:G15,REP.A008_PC3_24H:G15,PC3,BRD-K50691590,bortezomib,Antineoplastic Agents,1
REP.A008_PC3_24H:G16,REP.A008_PC3_24H:G16,PC3,BRD-K50691590,bortezomib,Antineoplastic Agents,1
REP.A008_PC3_24H:G17,REP.A008_PC3_24H:G17,PC3,BRD-K50691590,bortezomib,Antineoplastic Agents,1
REP.A008_PC3_24H:G18,REP.A008_PC3_24H:G18,PC3,BRD-K50691590,bortezomib,Antineoplastic Agents,1
REP.A008_PC3_24H:H07,REP.A008_PC3_24H:H07,PC3,BRD-K77771411,moxonidine,Cardiovascular Agents,3
REP.A008_PC3_24H:H08,REP.A008_PC3_24H:H08,PC3,BRD-K77771411,moxonidine,Cardiovascular Agents,3
REP.A008_PC3_24H:H09,REP.A008_PC3_24H:H09,PC3,BRD-K77771411,moxonidine,Cardiovascular Agents,3
REP.A008_PC3_24H:H10,REP.A008_PC3_24H:H10,PC3,BRD-K77771411,moxonidine,Cardiovascular Agents,3
REP.A008_PC3_24H:H11,REP.A008_PC3_24H:H11,PC3,BRD-K77771411,moxonidine,Cardiovascular Agents,3
REP.A008_PC3_24H:H12,REP.A008_PC3_24H:H12,PC3,BRD-K77771411,moxonidine,Cardiovascular Agents,3
REP.A008_PC3_24H:H19,REP.A008_PC3_24H:H19,PC3,BRD-K80535353,enoxolone,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:H20,REP.A008_PC3_24H:H20,PC3,BRD-K80535353,enoxolone,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:H21,REP.A008_PC3_24H:H21,PC3,BRD-K80535353,enoxolone,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:H22,REP.A008_PC3_24H:H22,PC3,BRD-K80535353,enoxolone,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:H23,REP.A008_PC3_24H:H23,PC3,BRD-K80535353,enoxolone,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:H24,REP.A008_PC3_24H:H24,PC3,BRD-K80535353,enoxolone,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:I07,REP.A008_PC3_24H:I07,PC3,BRD-K91290917,amodiaquine,Anti-Infective Agents,2
REP.A008_PC3_24H:I08,REP.A008_PC3_24H:I08,PC3,BRD-K91290917,amodiaquine,Anti-Infective Agents,2
REP.A008_PC3_24H:I09,REP.A008_PC3_24H:I09,PC3,BRD-K91290917,amodiaquine,Anti-Infective Agents,2
REP.A008_PC3_24H:I10,REP.A008_PC3_24H:I10,PC3,BRD-K91290917,amodiaquine,Anti-Infective Agents,2
REP.A008_PC3_24H:I11,REP.A008_PC3_24H:I11,PC3,BRD-K91290917,amodiaquine,Anti-Infective Agents,2
REP.A008_PC3_24H:I12,REP.A008_PC3_24H:I12,PC3,BRD-K91290917,amodiaquine,Anti-Infective Agents,2
REP.A008_PC3_24H:I19,REP.A008_PC3_24H:I19,PC3,BRD-K75024268,lesinurad,Renal Agents,14
REP.A008_PC3_24H:I20,REP.A008_PC3_24H:I20,PC3,BRD-K75024268,lesinurad,Renal Agents,14
REP.A008_PC3_24H:I21,REP.A008_PC3_24H:I21,PC3,BRD-K75024268,lesinurad,Renal Agents,14
REP.A008_PC3_24H:I22,REP.A008_PC3_24H:I22,PC3,BRD-K75024268,lesinurad,Renal Agents,14
REP.A008_PC3_24H:I23,REP.A008_PC3_24H:I23,PC3,BRD-K75024268,lesinurad,Renal Agents,14
REP.A008_PC3_24H:I24,REP.A008_PC3_24H:I24,PC3,BRD-K75024268,lesinurad,Renal Agents,14
REP.A008_PC3_24H:J01,REP.A008_PC3_24H:J01,PC3,BRD-K89104321,gaboxadol,Central Nervous System Agents,4
REP.A008_PC3_24H:J02,REP.A008_PC3_24H:J02,PC3,BRD-K89104321,gaboxadol,Central Nervous System Agents,4
REP.A008_PC3_24H:J03,REP.A008_PC3_24H:J03,PC3,BRD-K89104321,gaboxadol,Central Nervous System Agents,4
REP.A008_PC3_24H:J04,REP.A008_PC3_24H:J04,PC3,BRD-K89104321,gaboxadol,Central Nervous System Agents,4
REP.A008_PC3_24H:J06,REP.A008_PC3_24H:J06,PC3,BRD-K89104321,gaboxadol,Central Nervous System Agents,4
REP.A008_PC3_24H:J13,REP.A008_PC3_24H:J13,PC3,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:J14,REP.A008_PC3_24H:J14,PC3,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:J15,REP.A008_PC3_24H:J15,PC3,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:J16,REP.A008_PC3_24H:J16,PC3,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:J17,REP.A008_PC3_24H:J17,PC3,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:J18,REP.A008_PC3_24H:J18,PC3,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A008_PC3_24H:J19,REP.A008_PC3_24H:J19,PC3,BRD-K92731339,perindopril,Cardiovascular Agents,3
REP.A008_PC3_24H:J20,REP.A008_PC3_24H:J20,PC3,BRD-K92731339,perindopril,Cardiovascular Agents,3
REP.A008_PC3_24H:J21,REP.A008_PC3_24H:J21,PC3,BRD-K92731339,perindopril,Cardiovascular Agents,3
REP.A008_PC3_24H:J22,REP.A008_PC3_24H:J22,PC3,BRD-K92731339,perindopril,Cardiovascular Agents,3
REP.A008_PC3_24H:J23,REP.A008_PC3_24H:J23,PC3,BRD-K92731339,perindopril,Cardiovascular Agents,3
REP.A008_PC3_24H:J24,REP.A008_PC3_24H:J24,PC3,BRD-K92731339,perindopril,Cardiovascular Agents,3
REP.A008_PC3_24H:K13,REP.A008_PC3_24H:K13,PC3,BRD-K03353589,ecabet,Anti-Infective Agents,2
REP.A008_PC3_24H:K14,REP.A008_PC3_24H:K14,PC3,BRD-K03353589,ecabet,Anti-Infective Agents,2
REP.A008_PC3_24H:K15,REP.A008_PC3_24H:K15,PC3,BRD-K03353589,ecabet,Anti-Infective Agents,2
REP.A008_PC3_24H:K16,REP.A008_PC3_24H:K16,PC3,BRD-K03353589,ecabet,Anti-Infective Agents,2
REP.A008_PC3_24H:K17,REP.A008_PC3_24H:K17,PC3,BRD-K03353589,ecabet,Anti-Infective Agents,2
REP.A008_PC3_24H:K18,REP.A008_PC3_24H:K18,PC3,BRD-K03353589,ecabet,Anti-Infective Agents,2
REP.A008_PC3_24H:L07,REP.A008_PC3_24H:L07,PC3,BRD-K35007173,enprofylline,Respiratory System Agents,11
REP.A008_PC3_24H:L08,REP.A008_PC3_24H:L08,PC3,BRD-K35007173,enprofylline,Respiratory System Agents,11
REP.A008_PC3_24H:L09,REP.A008_PC3_24H:L09,PC3,BRD-K35007173,enprofylline,Respiratory System Agents,11
REP.A008_PC3_24H:L10,REP.A008_PC3_24H:L10,PC3,BRD-K35007173,enprofylline,Respiratory System Agents,11
REP.A008_PC3_24H:L11,REP.A008_PC3_24H:L11,PC3,BRD-K35007173,enprofylline,Respiratory System Agents,11
REP.A008_PC3_24H:L12,REP.A008_PC3_24H:L12,PC3,BRD-K35007173,enprofylline,Respiratory System Agents,11
REP.A008_PC3_24H:L19,REP.A008_PC3_24H:L19,PC3,BRD-K87202646,isoniazid,Anti-Infective Agents,2
REP.A008_PC3_24H:L20,REP.A008_PC3_24H:L20,PC3,BRD-K87202646,isoniazid,Anti-Infective Agents,2
REP.A008_PC3_24H:L21,REP.A008_PC3_24H:L21,PC3,BRD-K87202646,isoniazid,Anti-Infective Agents,2
REP.A008_PC3_24H:L22,REP.A008_PC3_24H:L22,PC3,BRD-K87202646,isoniazid,Anti-Infective Agents,2
REP.A008_PC3_24H:L23,REP.A008_PC3_24H:L23,PC3,BRD-K87202646,isoniazid,Anti-Infective Agents,2
REP.A008_PC3_24H:L24,REP.A008_PC3_24H:L24,PC3,BRD-K87202646,isoniazid,Anti-Infective Agents,2
REP.A008_PC3_24H:M07,REP.A008_PC3_24H:M07,PC3,BRD-K87990216,piretanide,Cardiovascular Agents,3
REP.A008_PC3_24H:M08,REP.A008_PC3_24H:M08,PC3,BRD-K87990216,piretanide,Cardiovascular Agents,3
REP.A008_PC3_24H:M09,REP.A008_PC3_24H:M09,PC3,BRD-K87990216,piretanide,Cardiovascular Agents,3
REP.A008_PC3_24H:M10,REP.A008_PC3_24H:M10,PC3,BRD-K87990216,piretanide,Cardiovascular Agents,3
REP.A008_PC3_24H:M11,REP.A008_PC3_24H:M11,PC3,BRD-K87990216,piretanide,Cardiovascular Agents,3
REP.A008_PC3_24H:M12,REP.A008_PC3_24H:M12,PC3,BRD-K87990216,piretanide,Cardiovascular Agents,3
REP.A008_PC3_24H:M13,REP.A008_PC3_24H:M13,PC3,BRD-K88052444,urea,Antineoplastic Agents,1
REP.A008_PC3_24H:M14,REP.A008_PC3_24H:M14,PC3,BRD-K88052444,urea,Antineoplastic Agents,1
REP.A008_PC3_24H:M15,REP.A008_PC3_24H:M15,PC3,BRD-K88052444,urea,Antineoplastic Agents,1
REP.A008_PC3_24H:M16,REP.A008_PC3_24H:M16,PC3,BRD-K88052444,urea,Antineoplastic Agents,1
REP.A008_PC3_24H:M17,REP.A008_PC3_24H:M17,PC3,BRD-K88052444,urea,Antineoplastic Agents,1
REP.A008_PC3_24H:M18,REP.A008_PC3_24H:M18,PC3,BRD-K88052444,urea,Antineoplastic Agents,1
REP.A008_PC3_24H:N01,REP.A008_PC3_24H:N01,PC3,BRD-A87983072,benzotript,Gastrointestinal Agents,10
REP.A008_PC3_24H:N02,REP.A008_PC3_24H:N02,PC3,BRD-A87983072,benzotript,Gastrointestinal Agents,10
REP.A008_PC3_24H:N03,REP.A008_PC3_24H:N03,PC3,BRD-A87983072,benzotript,Gastrointestinal Agents,10
REP.A008_PC3_24H:N04,REP.A008_PC3_24H:N04,PC3,BRD-A87983072,benzotript,Gastrointestinal Agents,10
REP.A008_PC3_24H:N05,REP.A008_PC3_24H:N05,PC3,BRD-A87983072,benzotript,Gastrointestinal Agents,10
REP.A008_PC3_24H:N06,REP.A008_PC3_24H:N06,PC3,BRD-A87983072,benzotript,Gastrointestinal Agents,10
REP.A008_PC3_24H:N13,REP.A008_PC3_24H:N13,PC3,BRD-K88789588,letrozole,Antineoplastic Agents,1
REP.A008_PC3_24H:N14,REP.A008_PC3_24H:N14,PC3,BRD-K88789588,letrozole,Antineoplastic Agents,1
REP.A008_PC3_24H:N15,REP.A008_PC3_24H:N15,PC3,BRD-K88789588,letrozole,Antineoplastic Agents,1
REP.A008_PC3_24H:N16,REP.A008_PC3_24H:N16,PC3,BRD-K88789588,letrozole,Antineoplastic Agents,1
REP.A008_PC3_24H:N17,REP.A008_PC3_24H:N17,PC3,BRD-K88789588,letrozole,Antineoplastic Agents,1
REP.A008_PC3_24H:N18,REP.A008_PC3_24H:N18,PC3,BRD-K88789588,letrozole,Antineoplastic Agents,1
REP.A008_PC3_24H:O07,REP.A008_PC3_24H:O07,PC3,BRD-A49838158,phenprocoumon,Hematologic Agents,7
REP.A008_PC3_24H:O08,REP.A008_PC3_24H:O08,PC3,BRD-A49838158,phenprocoumon,Hematologic Agents,7
REP.A008_PC3_24H:O09,REP.A008_PC3_24H:O09,PC3,BRD-A49838158,phenprocoumon,Hematologic Agents,7
REP.A008_PC3_24H:O10,REP.A008_PC3_24H:O10,PC3,BRD-A49838158,phenprocoumon,Hematologic Agents,7
REP.A008_PC3_24H:O11,REP.A008_PC3_24H:O11,PC3,BRD-A49838158,phenprocoumon,Hematologic Agents,7
REP.A008_PC3_24H:O12,REP.A008_PC3_24H:O12,PC3,BRD-A49838158,phenprocoumon,Hematologic Agents,7
REP.A008_PC3_24H:O19,REP.A008_PC3_24H:O19,PC3,BRD-K89704198,vincamine,Antineoplastic Agents,1
REP.A008_PC3_24H:O20,REP.A008_PC3_24H:O20,PC3,BRD-K89704198,vincamine,Antineoplastic Agents,1
REP.A008_PC3_24H:O21,REP.A008_PC3_24H:O21,PC3,BRD-K89704198,vincamine,Antineoplastic Agents,1
REP.A008_PC3_24H:O22,REP.A008_PC3_24H:O22,PC3,BRD-K89704198,vincamine,Antineoplastic Agents,1
REP.A008_PC3_24H:O23,REP.A008_PC3_24H:O23,PC3,BRD-K89704198,vincamine,Antineoplastic Agents,1
REP.A008_PC3_24H:O24,REP.A008_PC3_24H:O24,PC3,BRD-K89704198,vincamine,Antineoplastic Agents,1
REP.A008_PC3_24H:P13,REP.A008_PC3_24H:P13,PC3,BRD-A89585551,mefloquine,Anti-Infective Agents,2
REP.A008_PC3_24H:P14,REP.A008_PC3_24H:P14,PC3,BRD-A89585551,mefloquine,Anti-Infective Agents,2
REP.A008_PC3_24H:P15,REP.A008_PC3_24H:P15,PC3,BRD-A89585551,mefloquine,Anti-Infective Agents,2
REP.A008_PC3_24H:P16,REP.A008_PC3_24H:P16,PC3,BRD-A89585551,mefloquine,Anti-Infective Agents,2
REP.A008_PC3_24H:P17,REP.A008_PC3_24H:P17,PC3,BRD-A89585551,mefloquine,Anti-Infective Agents,2
REP.A008_PC3_24H:P18,REP.A008_PC3_24H:P18,PC3,BRD-A89585551,mefloquine,Anti-Infective Agents,2
REP.A008_PC3_24H:P19,REP.A008_PC3_24H:P19,PC3,BRD-K90789829,nefazodone,Central Nervous System Agents,4
REP.A008_PC3_24H:P20,REP.A008_PC3_24H:P20,PC3,BRD-K90789829,nefazodone,Central Nervous System Agents,4
REP.A008_PC3_24H:P21,REP.A008_PC3_24H:P21,PC3,BRD-K90789829,nefazodone,Central Nervous System Agents,4
REP.A008_PC3_24H:P22,REP.A008_PC3_24H:P22,PC3,BRD-K90789829,nefazodone,Central Nervous System Agents,4
REP.A008_PC3_24H:P23,REP.A008_PC3_24H:P23,PC3,BRD-K90789829,nefazodone,Central Nervous System Agents,4
REP.A008_PC3_24H:P24,REP.A008_PC3_24H:P24,PC3,BRD-K90789829,nefazodone,Central Nervous System Agents,4
REP.A008_PC3_24H:E01,REP.A008_PC3_24H:E01,PC3,BRD-K32318651,acyclovir,Anti-Infective Agents,2
REP.A009_A375_24H:A03,REP.A009_A375_24H:A03,A375,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A009_A375_24H:A04,REP.A009_A375_24H:A04,A375,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A009_A375_24H:A05,REP.A009_A375_24H:A05,A375,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A009_A375_24H:A06,REP.A009_A375_24H:A06,A375,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A009_A375_24H:A19,REP.A009_A375_24H:A19,A375,BRD-K28307902,flutamide,Antineoplastic Agents,1
REP.A009_A375_24H:A20,REP.A009_A375_24H:A20,A375,BRD-K28307902,flutamide,Antineoplastic Agents,1
REP.A009_A375_24H:A21,REP.A009_A375_24H:A21,A375,BRD-K28307902,flutamide,Antineoplastic Agents,1
REP.A009_A375_24H:A22,REP.A009_A375_24H:A22,A375,BRD-K28307902,flutamide,Antineoplastic Agents,1
REP.A009_A375_24H:A23,REP.A009_A375_24H:A23,A375,BRD-K28307902,flutamide,Antineoplastic Agents,1
REP.A009_A375_24H:A24,REP.A009_A375_24H:A24,A375,BRD-K28307902,flutamide,Antineoplastic Agents,1
REP.A009_A375_24H:B03,REP.A009_A375_24H:B03,A375,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A009_A375_24H:B04,REP.A009_A375_24H:B04,A375,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A009_A375_24H:B05,REP.A009_A375_24H:B05,A375,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A009_A375_24H:B06,REP.A009_A375_24H:B06,A375,DMSO,DMSO,Anti-Inflammatory Agents,0
